DATE,Energy_Consumption,TAVG,TMAX,TMIN,PRCP,Year_x,Real GDP (millions of chained 2017 dollars),Year_y,Total Employment (number of jobs),Month,Year,DayOfWeek,Energy_Consumption_Lag_1,Energy_Consumption_Lag_2,Energy_Consumption_Lag_3,Energy_Consumption_Lag_4,Energy_Consumption_Lag_5,Energy_Consumption_Lag_6,Energy_Consumption_Lag_7,Energy_Consumption_Lag_8,Energy_Consumption_Lag_9,Energy_Consumption_Lag_10,Energy_Consumption_Lag_11,Energy_Consumption_Lag_12,Energy_Consumption_Rolling_Mean
2021-04-01,-2.0973298314321385,1.0883883696400853,64.19924320870567,47.28239523551606,2.396290070117994,2021,1.3012284375798193,2021-01-01 00:00:00,0.4438572537996486,4,2021,3,18604.99369,22391.08085,26068.01914,26005.66433,23607.68684,20641.27103,18754.52085,20077.35605,20422.44347,16636.41958,19752.80989,18170.50477,18766.841689999997
2021-03-01,-0.027800438640101826,0.9120281233922924,67.145277033457,46.706266715692216,2.4075187451780105,2021,1.3012284375798193,2021-01-01 00:00:00,0.4438572537996486,3,2021,0,15304.45053,18604.99369,22391.08085,26068.01914,26005.66433,23607.68684,20641.27103,18754.52085,20077.35605,20422.44347,16636.41958,19752.80989,18353.52879666667
2021-02-01,-1.8284856077879412,1.9756358557310885,65.43565021117442,45.30707198214317,2.457682535354976,2021,1.3012284375798193,2021-01-01 00:00:00,0.4438572537996486,2,2021,0,21151.14217,15304.45053,18604.99369,22391.08085,26068.01914,26005.66433,23607.68684,20641.27103,18754.52085,20077.35605,20422.44347,16636.41958,17506.521126666667
2021-01-01,-0.9380001112620563,0.8373928704475799,71.31319736541224,45.32502600799357,2.296620176080544,2021,1.3012284375798193,2021-01-01 00:00:00,0.4438572537996486,1,2021,4,16063.97068,21151.14217,15304.45053,18604.99369,22391.08085,26068.01914,26005.66433,23607.68684,20641.27103,18754.52085,20077.35605,20422.44347,18598.27390333333
2020-12-01,0.17580128825113228,1.2836661352787986,65.64434985154618,47.64342563061446,1.9945462730591648,2020,0.5062234595312721,2020-01-01 00:00:00,-0.22202834707662045,12,2020,1,18579.70886,16063.97068,21151.14217,15304.45053,18604.99369,22391.08085,26068.01914,26005.66433,23607.68684,20641.27103,18754.52085,20077.35605,18790.007753333335
2020-11-01,-1.5949625073238713,1.0591381246296265,70.14618261596237,46.05093173309682,2.563618835001196,2020,0.5062234595312721,2020-01-01 00:00:00,-0.22202834707662045,11,2020,6,21726.34372,18579.70886,16063.97068,21151.14217,15304.45053,18604.99369,22391.08085,26068.01914,26005.66433,23607.68684,20641.27103,18754.52085,19009.918869999998
2020-10-01,0.8347554963750701,1.4568134218821014,67.80229406429231,46.58223046468526,1.835805182851736,2020,0.5062234595312721,2020-01-01 00:00:00,-0.22202834707662045,10,2020,3,16723.70403,21726.34372,18579.70886,16063.97068,21151.14217,15304.45053,18604.99369,22391.08085,26068.01914,26005.66433,23607.68684,20641.27103,20679.341143333335
2020-09-01,0.9718776192776806,0.9641922969759474,66.08013951786083,46.796708935657385,2.8415130007120264,2020,0.5062234595312721,2020-01-01 00:00:00,-0.22202834707662045,9,2020,1,23587.97568,16723.70403,21726.34372,18579.70886,16063.97068,21151.14217,15304.45053,18604.99369,22391.08085,26068.01914,26005.66433,23607.68684,21429.01445
2020-08-01,0.9812725570747469,1.6144070047716652,69.01765909804621,48.15382520038094,2.418938538317126,2020,0.5062234595312721,2020-01-01 00:00:00,-0.22202834707662045,8,2020,5,23975.36364,23587.97568,16723.70403,21726.34372,18579.70886,16063.97068,21151.14217,15304.45053,18604.99369,22391.08085,26068.01914,26005.66433,23855.08163
2020-07-01,1.723331725683699,0.5721722228346234,71.7203070484378,47.55546198990673,1.7671857586646516,2020,0.5062234595312721,2020-01-01 00:00:00,-0.22202834707662045,7,2020,2,24001.90557,23975.36364,23587.97568,16723.70403,21726.34372,18579.70886,16063.97068,21151.14217,15304.45053,18604.99369,22391.08085,26068.01914,24691.863046666665
